1	-2997	-113.26	4.76	18.52
1	-2994	-113.52	5.00	18.53
1	-2991	-113.78	5.24	18.54
1	-2988	-114.04	5.48	18.56
1	-2985	-114.30	5.72	18.57
1	-2982	-114.56	5.97	18.58
1	-2979	-114.81	6.21	18.59
1	-2976	-115.06	6.45	18.60
1	-2973	-115.31	6.69	18.61
1	-2970	-115.56	6.93	18.62
1	-2967	-115.81	7.17	18.63
1	-2964	-116.05	7.41	18.64
1	-2961	-116.30	7.65	18.65
1	-2958	-116.54	7.89	18.66
1	-2955	-116.78	8.13	18.67
1	-2952	-117.02	8.37	18.68
1	-2949	-117.25	8.61	18.68
1	-2946	-117.49	8.85	18.69
1	-2943	-117.72	9.09	18.70
1	-2940	-117.95	9.33	18.71
1	-2937	-118.18	9.57	18.71
1	-2934	-118.41	9.81	18.72
1	-2931	-118.64	10.05	18.73
1	-2928	-118.86	10.28	18.73
1	-2925	-119.09	10.52	18.74
1	-2922	-119.31	10.76	18.75
1	-2919	-119.53	11.00	18.75
1	-2916	-119.75	11.24	18.76
1	-2913	-119.96	11.47	18.76
1	-2910	-120.18	11.71	18.77
1	-2907	-120.39	11.95	18.77
1	-2904	-120.61	12.18	18.78
1	-2901	-120.82	12.42	18.78
1	-2898	-121.02	12.66	18.79
1	-2895	-121.23	12.89	18.79
1	-2892	-121.44	13.13	18.79
1	-2889	-121.64	13.37	18.80
1	-2886	-121.84	13.60	18.80
1	-2883	-122.04	13.84	18.80
1	-2880	-122.24	14.07	18.81
1	-2877	-122.44	14.31	18.81
1	-2874	-122.64	14.54	18.81
1	-2871	-122.83	14.78	18.81
1	-2868	-123.02	15.01	18.82
1	-2865	-123.22	15.24	18.82
1	-2862	-123.41	15.48	18.82
1	-2859	-123.59	15.71	18.82
1	-2856	-123.78	15.94	18.82
1	-2853	-123.97	16.18	18.82
1	-2850	-124.15	16.41	18.82
1	-2847	-124.33	16.64	18.82
1	-2844	-124.51	16.87	18.82
1	-2841	-124.69	17.11	18.82
1	-2838	-124.87	17.34	18.82
1	-2835	-125.05	17.57	18.82
1	-2832	-125.22	17.80	18.82
1	-2829	-125.39	18.03	18.82
1	-2826	-125.57	18.26	18.82
1	-2823	-125.74	18.49	18.82
1	-2820	-125.90	18.72	18.82
1	-2817	-126.07	18.95	18.81
1	-2814	-126.24	19.18	18.81
1	-2811	-126.40	19.41	18.81
1	-2808	-126.56	19.64	18.81
1	-2805	-126.73	19.87	18.80
1	-2802	-126.89	20.10	18.80
1	-2799	-127.04	20.33	18.80
1	-2796	-127.20	20.56	18.80
1	-2793	-127.36	20.78	18.79
1	-2790	-127.51	21.01	18.79
1	-2787	-127.66	21.24	18.78
1	-2784	-127.81	21.47	18.78
1	-2781	-127.96	21.69	18.78
1	-2778	-128.11	21.92	18.77
1	-2775	-128.26	22.15	18.77
